Year,Entity,Life expectancy
1907,Canada,50.960175
1908,Canada,51.347794
1909,Canada,51.735409
1910,Canada,52.123024
1911,Canada,52.510639
1912,Canada,52.961575
1913,Canada,53.412514
1914,Canada,53.863449
1915,Canada,54.314384
1916,Canada,54.76532
1917,Canada,55.216255
1918,Canada,47.169968
1919,Canada,56.11813
1920,Canada,56.569065
1921,Canada,57.02
1922,Canada,57.02
1923,Canada,57.02
1924,Canada,58.830002
1925,Canada,59.310001
1926,Canada,57.990002
1927,Canada,58.68
1928,Canada,58.57
1929,Canada,57.970001
1930,Canada,58.950001
1931,Canada,60.360001
1932,Canada,61.43
1933,Canada,62.360001
1934,Canada,62.77
1935,Canada,62.490002
1936,Canada,62.720001
1937,Canada,61.349998
1938,Canada,63.310001
1939,Canada,63.740002
1940,Canada,64.010002
1941,Canada,63.759998
1942,Canada,64.699997
1943,Canada,64.610001
1944,Canada,65.349998
1945,Canada,66.330002
1946,Canada,66.529999
1947,Canada,66.779999
1948,Canada,67.330002
1949,Canada,67.650002
1950,Canada,68.279999
1951,Canada,68.550003
1952,Canada,68.75
1953,Canada,69.129997
1954,Canada,69.989998
1955,Canada,70.050003
1956,Canada,70.040001
1957,Canada,69.959999
1958,Canada,70.620003
1959,Canada,70.660004
1960,Canada,71.040001
1961,Canada,71.269997
1962,Canada,71.300003
1963,Canada,71.309998
1964,Canada,71.690002
1965,Canada,71.790001
1966,Canada,71.919998
1967,Canada,72.129997
1968,Canada,72.290001
1969,Canada,72.449997
1970,Canada,72.650002
1971,Canada,72.980003
1972,Canada,72.879997
1973,Canada,73.110001
1974,Canada,73.190002
1975,Canada,73.489998
1976,Canada,73.919998
1977,Canada,74.209999
1978,Canada,74.540001
1979,Canada,74.900002
1980,Canada,75.139999
1981,Canada,75.550003
1982,Canada,75.760002
1983,Canada,76.129997
1984,Canada,76.43
1985,Canada,76.410004
1986,Canada,76.559998
1987,Canada,76.860001
1988,Canada,76.93
1989,Canada,77.199997
1990,Canada,77.43
1991,Canada,77.610001
1992,Canada,77.760002
1993,Canada,77.82
1994,Canada,77.93
1995,Canada,78.07
1996,Canada,78.309998
1997,Canada,78.57
1998,Canada,78.779999
1999,Canada,79.010002
2000,Canada,79.260002
2001,Canada,79.480003
2002,Canada,79.660004
2003,Canada,79.839996
2004,Canada,80.050003
2005,Canada,80.230003
2006,Canada,80.480003
2007,Canada,80.650002
2008,Canada,80.870003
2009,Canada,81.120003
2010,Canada,81.339996
2011,Canada,81.529999
2012,Canada,81.660004
2013,Canada,81.75
2014,Canada,81.790001
2015,Canada,81.769997
2016,Canada,81.849998
1800,China,32
1801,China,32
1802,China,32
1803,China,32
1804,China,32
1805,China,32
1806,China,32
1807,China,32
1808,China,32
1809,China,32
1810,China,32
1811,China,32
1812,China,32
1813,China,32
1814,China,32
1815,China,32
1816,China,32
1817,China,32
1818,China,32
1819,China,32
1820,China,32
1821,China,32
1822,China,32
1823,China,32
1824,China,32
1825,China,32
1826,China,32
1827,China,32
1828,China,32
1829,China,32
1830,China,32
1831,China,32
1832,China,32
1833,China,32
1834,China,32
1835,China,32
1836,China,32
1837,China,32
1838,China,32
1839,China,32
1840,China,32
1841,China,32
1842,China,32
1843,China,32
1844,China,32
1845,China,32
1846,China,32
1847,China,32
1848,China,32
1849,China,32
1850,China,32
1851,China,31
1852,China,30
1853,China,29
1854,China,28
1855,China,27
1856,China,26
1857,China,26.7125
1858,China,27.424999
1859,China,28.137501
1860,China,28.85
1861,China,29.5625
1862,China,30.275
1863,China,30.987499
1864,China,31.700001
1865,China,31.742857
1866,China,31.785715
1867,China,31.828571
1868,China,31.871429
1869,China,31.914286
1870,China,31.957144
1871,China,32
1872,China,32
1873,China,32
1874,China,32
1875,China,32
1876,China,29.5
1877,China,27.5
1878,China,25.200001
1879,China,28.5
1880,China,32
1881,China,32
1882,China,32
1883,China,32
1884,China,32
1885,China,32
1886,China,32
1887,China,32
1888,China,32
1889,China,32
1890,China,32
1891,China,32
1892,China,32
1893,China,32
1894,China,32
1895,China,32
1896,China,32
1897,China,32
1898,China,32
1899,China,32
1900,China,32
1901,China,32
1902,China,32
1903,China,32
1904,China,32
1905,China,32
1906,China,32
1907,China,32
1908,China,32
1909,China,32
1910,China,32
1911,China,32
1912,China,32
1913,China,32
1914,China,32
1915,China,32
1916,China,32
1917,China,32
1918,China,22.409521
1919,China,32
1920,China,32
1921,China,32
1922,China,32
1923,China,32
1924,China,32
1925,China,32
1926,China,32.360001
1927,China,25.65
1928,China,33.080002
1929,China,29.85
1930,China,33.799999
1931,China,34.200001
1932,China,34.599998
1933,China,35
1934,China,35.400002
1935,China,35.799999
1936,China,36.200001
1937,China,34
1938,China,33.86343
1939,China,34.11343
1940,China,34.36343
1941,China,34
1942,China,32
1943,China,29
1944,China,35
1945,China,37
1946,China,38.5
1947,China,39.599998
1948,China,40.099998
1949,China,40.599998
1950,China,41.589882
1951,China,42.579762
1952,China,43.569641
1953,China,44.559521
1954,China,46.465599
1955,China,48.02216
1956,China,50.445278
1957,China,50.548962
1958,China,50.158401
1959,China,38.40448
1960,China,31.63176
1961,China,34.104481
1962,China,44.501362
1963,China,51.89912
1964,China,53.320721
1965,China,55.646801
1966,China,56.8032
1967,China,58.381119
1968,China,59.405201
1969,China,60.965199
1970,China,62.650799
1971,China,63.737358
1972,China,63.118881
1973,China,62.7808
1974,China,62.499599
1975,China,62.698879
1976,China,62.437359
1977,China,63.967361
1978,China,64.244324
1979,China,65.085358
1980,China,66.122162
1981,China,66.44976
1982,China,67.587997
1983,China,67.848
1984,China,68.099998
1985,China,68.344002
1986,China,68.581001
1987,China,68.809998
1988,China,69.031998
1989,China,69.248001
1990,China,66.959999
1991,China,67.230003
1992,China,67.43
1993,China,67.669998
1994,China,67.940002
1995,China,68.290001
1996,China,68.620003
1997,China,68.919998
1998,China,69.25
1999,China,69.610001
2000,China,69.940002
2001,China,70.220001
2002,China,70.519997
2003,China,71.220001
2004,China,71.779999
2005,China,72.260002
2006,China,72.879997
2007,China,73.379997
2008,China,73.599998
2009,China,74.120003
2010,China,74.419998
2011,China,74.870003
2012,China,75.25
2013,China,75.519997
2014,China,75.68
2015,China,76.040001
2016,China,76.360001
1800,France,33.967171
1801,France,36.374649
1802,France,34.379993
1803,France,30.642622
1804,France,29.381762
1805,France,34.87632
1806,France,35
1807,France,34.200001
1808,France,34.5
1809,France,35
1810,France,37.400002
1811,France,36.099998
1812,France,31.700001
1813,France,31.200001
1814,France,30.1
1815,France,36.5
1816,France,40.040001
1817,France,39.18
1818,France,38.529999
1819,France,37.25
1820,France,39.209999
1821,France,39.830002
1822,France,38.299999
1823,France,39.970001
1824,France,39.139999
1825,France,38.529999
1826,France,37.759998
1827,France,39.349998
1828,France,37.529999
1829,France,39.360001
1830,France,39.560001
1831,France,39.650002
1832,France,35.810001
1833,France,38.830002
1834,France,35.009998
1835,France,39.48
1836,France,41.950001
1837,France,39.380001
1838,France,39.330002
1839,France,40.91
1840,France,40.369999
1841,France,40.68
1842,France,40.009998
1843,France,40.75
1844,France,42.290001
1845,France,43.580002
1846,France,40.669998
1847,France,40.41
1848,France,40.290001
1849,France,35.91
1850,France,43.279999
1851,France,41.77
1852,France,41.32
1853,France,42.52
1854,France,36.130001
1855,France,37.540001
1856,France,40.18
1857,France,39.59
1858,France,39.669998
1859,France,35.259998
1860,France,43.330002
1861,France,40.450001
1862,France,42.700001
1863,France,41.73
1864,France,42.009998
1865,France,40.16
1866,France,41.830002
1867,France,42.330002
1868,France,40.23
1869,France,41.139999
1870,France,36.41
1871,France,29.59
1872,France,42.639999
1873,France,41.75
1874,France,44.299999
1875,France,43.169998
1876,France,43.549999
1877,France,44.330002
1878,France,43.360001
1879,France,43.990002
1880,France,42.73
1881,France,43.549999
1882,France,43.16
1883,France,43.279999
1884,France,42.52
1885,France,43.970001
1886,France,43.169998
1887,France,43.75
1888,France,44.150002
1889,France,45.560001
1890,France,43.360001
1891,France,44.110001
1892,France,43.57
1893,France,43.599998
1894,France,45.529999
1895,France,45.200001
1896,France,47.560001
1897,France,47.93
1898,France,45.990002
1899,France,45.23
1900,France,45.080002
1901,France,47.009998
1902,France,48.009998
1903,France,48.43
1904,France,48.080002
1905,France,48.360001
1906,France,47.740002
1907,France,48.279999
1908,France,49.299999
1909,France,50.009998
1910,France,51.369999
1911,France,48.169998
1912,France,51.619999
1913,France,51.349998
1914,France,37.849998
1915,France,35.630001
1916,France,39.509998
1917,France,42.599998
1918,France,34.34
1919,France,47.52
1920,France,51.599998
1921,France,52.689999
1922,France,54.919998
1923,France,54.650002
1924,France,55.27
1925,France,54.389999
1926,France,54.029999
1927,France,55.799999
1928,France,55.439999
1929,France,54.27
1930,France,56.869999
1931,France,56.93
1932,France,57.259998
1933,France,57.700001
1934,France,58.360001
1935,France,58.32
1936,France,58.810001
1937,France,59.169998
